index,x,y,z
0,-0.6666670441627502,-0.6981630921363831,-0.15670804679393768
1,-0.6561683416366577,-0.6981630921363831,-0.159795880317688
2,-0.6456696391105652,-0.6981630921363831,-0.1628837287425995
3,-0.6351709365844727,-0.6981630921363831,-0.15825195610523224
4,-0.6246722340583801,-0.6981630921363831,-0.15362019836902618
5,-0.6141735911369324,-0.6981630921363831,-0.14898842573165894
6,-0.6036748886108398,-0.6981630921363831,-0.14435666799545288
7,-0.5931761860847473,-0.6981630921363831,-0.13818098604679108
8,-0.5826774835586548,-0.6876644492149353,-0.13046137988567352
9,-0.5721787810325623,-0.6771657466888428,-0.12119784206151962
10,-0.5616800785064697,-0.6666670441627502,-0.11347823590040207
11,-0.551181435585022,-0.6561683416366577,-0.10730254650115967
12,-0.5406827330589294,-0.6456696391105652,-0.10112686455249786
13,-0.5301840305328369,-0.6351709365844727,-0.09495117515325546
14,-0.5196853280067444,-0.6246722340583801,-0.09186333417892456
15,-0.5091866254806519,-0.6141735911369324,-0.08723156899213791
16,-0.5091866254806519,-0.6036748886108398,-0.08568764477968216
17,-0.4986879527568817,-0.5931761860847473,-0.08259980380535126
18,-0.4881892502307892,-0.5826774835586548,-0.07951196283102036
19,-0.4881892502307892,-0.5721787810325623,-0.0779680386185646
20,-0.4881892502307892,-0.5616800785064697,-0.0748801976442337
21,-0.4881892502307892,-0.551181435585022,-0.0717923566699028
22,-0.47769054770469666,-0.5406827330589294,-0.0656166672706604
23,-0.47769054770469666,-0.5301840305328369,-0.06098490208387375
24,-0.47769054770469666,-0.5196853280067444,-0.054809216409921646
25,-0.47769054770469666,-0.5091866254806519,-0.050177451223134995
26,-0.47769054770469666,-0.4986879527568817,-0.04400176554918289
27,-0.4671918451786041,-0.4881892502307892,-0.03628215566277504
28,-0.4671918451786041,-0.47769054770469666,-0.030106469988822937
29,-0.4671918451786041,-0.4671918451786041,-0.022386863827705383
30,-0.4671918451786041,-0.456693172454834,-0.011579412035644054
31,-0.4671918451786041,-0.44619446992874146,-0.00694764731451869
32,-0.4671918451786041,-0.4356957674026489,-0.0007719607674516737
33,-0.4671918451786041,-0.4251970946788788,0.00694764731451869
34,-0.4671918451786041,-0.41469839215278625,0.008491568267345428
35,-0.4671918451786041,-0.4041996896266937,0.008491568267345428
36,-0.4671918451786041,-0.3937010169029236,0.008491568267345428
37,-0.4671918451786041,-0.38320231437683105,0.00694764731451869
38,-0.4671918451786041,-0.3727036118507385,0.00694764731451869
39,-0.4671918451786041,-0.3622049391269684,0.005403725430369377
40,-0.47769054770469666,-0.3622049391269684,0.005403725430369377
41,-0.47769054770469666,-0.35170623660087585,0.0038598040118813515
42,-0.47769054770469666,-0.3412075340747833,0.002315882360562682
43,-0.47769054770469666,-0.3307088315486908,-0.0007719607674516737
44,-0.47769054770469666,-0.32021015882492065,0.002315882360562682
